ReportNumberNew,Time of Call,Date,Year,Month Name,Quarter,Week of Year,Week of Month,Day Name,Day of Year,Time,Start of Hour,Incident,PDZone,Grid,Time Dispatched,Time Out,Time In,RESPONSE_TIME,TIME_ON_CALL,Officer,Disposition,Response Type,CAD_NOTES,Location,Block1,FullAddress2,How Reported,ST#,BLOCK_
25-016310,02/28/25 15:14,02/28/25,2025,February,01,09,05,Friday,059,15:14,15:00,UNWANTED PERSON,9,I1,02/28/25 15:18:47,02/28/25 15:21:41,02/28/25 15:25:13,0 Hrs. 02 Mins,0 Hrs. 03 Mins,P.O. Carmine Maceri 378,DISPERSED,Urgent,"unwanted group in the rear lot, possibly smoking cds in vehicle See Kenny, si - cavallo_f - 2/28/2025 3:20:53 PMDrone deployed. - weber_r - 2/28/2025 3:18:56 PM",126 Anderson Street,100 Block of Anderson Street,"126 Anderson Street, Hackensack, NJ, 07601",Phone,126,"Anderson St, 100 Block"
25-016319,02/28/25 15:51,02/28/25,2025,February,01,09,05,Friday,059,15:51,15:00,CITY ORDINANCE,9,I1,02/28/25 15:51:31,02/28/25 15:51:32,02/28/25 15:59:44,0 Hrs. 00 Mins,0 Hrs. 08 Mins,Const. Dean Mattalian 430,DISPERSED,Routine,dispersing 81's from locked field - antista_ma - 2/28/2025 3:51:28 PM,460 River Street,400 Block of River Street,"460 River Street, Hackensack, NJ, 07601",Radio,460,"River St, 400 Block"
25-016339,02/28/25 18:00,02/28/25,2025,February,01,09,05,Friday,059,18:00,18:00,WELFARE CHECK,8,H3,02/28/25 18:15:36,02/28/25 18:21:20,02/28/25 21:08:42,0 Hrs. 05 Mins,2 Hrs. 47 Mins,P.O. Andres Lopez 375,SEE REPORT,Urgent,"reported through gaggle, Valaree Velazquez indicated she was being abused by an adult/guardian  - ortiz_n - 2/28/2025 6:01:48 PMand is currently having suicidal ideation's.  - ortiz_n - 2/28/2025 6:01:48 PMDoes not reside at 223 Passaic St any longer. Responding to 90 Arcadia Rd Apt F to check. Unable to  - Sroka_T - 2/28/2025 7:19:45 PM",223 Passaic Street,200 Block of Passaic Street,"223 Passaic Street, Hackensack, NJ, 07601",Phone,223,"Passaic St, 200 Block"
25-016358,02/28/25 19:17,02/28/25,2025,February,01,09,05,Friday,059,19:17,19:00,SUSPICIOUS VEHICLE,9,I5,02/28/25 19:39:47,02/28/25 19:43:51,02/28/25 19:46:45,0 Hrs. 04 Mins,0 Hrs. 02 Mins,P.O. Frank Caneja 346,G.O.A.,Urgent,Vehicle in the park no lights on - Sroka_T - 2/28/2025 7:40:19 PM,177 Coles Avenue,100 Block of Coles Avenue,"177 Coles Avenue, Hackensack, NJ, 07601",Radio,177,"Coles Ave, 100 Block"
25-016398,02/28/25 23:19,02/28/25,2025,February,01,09,05,Friday,059,23:19,23:00,WELFARE CHECK,9,I5,02/28/25 23:21:39,02/28/25 23:30:48,02/28/25 23:36:58,0 Hrs. 09 Mins,0 Hrs. 06 Mins,P.O. Nart Marza 321,UNABLE TO LOCATE,Urgent,"25-075486     female heard loudly asking what and then where am I, did not answer  - Sosa_C - 2/28/2025 11:20:24 PMany question directly / address via landline ph# - Sosa_C - 2/28/2025 11:20:16 PMdisoriented female looking for Jacob - thomas_l - 2/28/2025 11:38:32 PM",161 Elm Avenue,100 Block of Elm Avenue,"161 Elm Avenue, Hackensack, NJ, 07601",9-1-1,161,"Elm Ave, 100 Block"
25-016404,02/28/25 23:55,02/28/25,2025,February,01,09,05,Friday,059,23:55,23:00,DISPUTE,8,H2,02/28/25 23:59:05,03/01/25 00:01:37,03/01/25 00:15:22,0 Hrs. 02 Mins,0 Hrs. 13 Mins,P.O. Andres Lopez 375,TEMP. SETTLED,Urgent,party causing a scene arguing with mr potter - ortiz_n - 2/28/2025 11:57:51 PM,315 Park Street,300 Block of Park Street,"315 Park Street, Hackensack, NJ, 07601",Phone,315,"Park St, 300 Block"
25-016408,03/01/25 00:18,03/01/25,2025,March,01,09,01,Saturday,060,00:18,00:00,DISPUTE,8,H2,03/01/25 00:18:55,03/01/25 00:23:38,03/01/25 00:41:19,0 Hrs. 04 Mins,0 Hrs. 17 Mins,P.O. Andres Lopez 375,ADVISED,Urgent,round 2.......FIGHT!!!! - ortiz_n - 3/1/2025 12:18:32 AM,315 Park Street,300 Block of Park Street,"315 Park Street, Hackensack, NJ, 07601",Phone,315,"Park St, 300 Block"
25-016410,03/01/25 00:20,03/01/25,2025,March,01,09,01,Saturday,060,00:20,00:00,DISPUTE,6,F2,03/01/25 00:24:35,03/01/25 00:26:30,03/01/25 00:28:41,0 Hrs. 01 Mins,0 Hrs. 02 Mins,P.O. Pedro Dominguez 166,UNFOUNDED,Urgent,"caller got in argument at liquor store, has pancreatitis and hernia, abdominal pain` - ortiz_n - 3/1/2025 12:21:23 AMBCC 25-075543. - ortiz_n - 3/1/2025 12:23:30 AM",321 Essex Street,300 Block of Essex Street,"321 Essex Street, Hackensack, NJ, 07601",Phone,321,"Essex St, 300 Block"
25-016430,03/01/25 01:45,03/01/25,2025,March,01,09,01,Saturday,060,01:45,01:00,UNWANTED PERSON,7,G4,03/01/25 01:54:36,03/01/25 01:57:57,03/01/25 02:03:33,0 Hrs. 03 Mins,0 Hrs. 05 Mins,P.O. Roselys Salas 369,DISPERSED,Urgent,party attempting to achieve rem sleep in the atm vestibule  - ortiz_n - 3/1/2025 2:01:48 AM,360 Essex Street,300 Block of Essex Street,"360 Essex Street, Hackensack, NJ, 07601",Phone,360,"Essex St, 300 Block"
25-016434,03/01/25 02:02,03/01/25,2025,March,01,09,01,Saturday,060,02:02,02:00,DISPUTE,8,H2,03/01/25 02:28:07,03/01/25 02:30:54,03/01/25 03:37:29,0 Hrs. 02 Mins,1 Hrs. 06 Mins,P.O. Angelo Vicale 370,SEE REPORT,Urgent,5th time - thomas_l - 3/1/2025 2:28:32 AM - thomas_l - 3/1/2025 2:28:32 AM,315 Park Street,300 Block of Park Street,"315 Park Street, Hackensack, NJ, 07601",Phone,315,"Park St, 300 Block"
25-016448,03/01/25 03:40,03/01/25,2025,March,01,09,01,Saturday,060,03:40,03:00,DISPUTE,5,E2,03/01/25 03:41:36,03/01/25 03:43:03,03/01/25 03:54:28,0 Hrs. 01 Mins,0 Hrs. 11 Mins,P.O. Maximiliano Anguizaca 368,ADVISED,Urgent,caller reports argument w/callers brother // verbal only no weapons  BCC # 25-075731 - ortiz_n - 3/1/2025 3:41:45 AM,76 West Franklin Street,0 Block of West Franklin Street,"76 West Franklin Street, Hackensack, NJ, 07601",Phone,76,"West Franklin St, 0 Block"
25-016519,03/01/25 12:24,03/01/25,2025,March,01,09,01,Saturday,060,12:24,12:00,DISPUTE,8,H3,03/01/25 12:27:51,03/01/25 12:30:09,03/01/25 12:35:42,0 Hrs. 02 Mins,0 Hrs. 05 Mins,P.O. Juda DeOliveira 376,ADVISED,Urgent,Caller having an on going dispute with the lanlord wants to file a report to document the incident.  - lyak_r - 3/1/2025 12:26:50 PMSecond floor apartment.  - lyak_r - 3/1/2025 12:26:50 PM,175 Berry Street,100 Block of Berry Street,"175 Berry Street, Hackensack, NJ, 07601",Phone,175,"Berry St, 100 Block"
25-016534,03/01/25 13:54,03/01/25,2025,March,01,09,01,Saturday,060,13:54,13:00,DISPUTE,7,G2,03/01/25 14:03:48,03/01/25 14:11:43,03/01/25 14:37:52,0 Hrs. 07 Mins,0 Hrs. 26 Mins,P.O. Michael Scangarella 349,SEE REPORT,Urgent,Jane is stating that her neighbor hired a tree company and they trimmed a tree on her property - lyak_r - 3/1/2025 1:56:01 PMtoo much without her authorization.  - lyak_r - 3/1/2025 1:56:01 PM,140 Ricardo Place,100 Block of Ricardo Place,"140 Ricardo Place, Hackensack, NJ, 07601",Phone,140,"Ricardo Pl, 100 Block"
25-016539,03/01/25 14:06,03/01/25,2025,March,01,09,01,Saturday,060,14:06,14:00,SUSPICIOUS INCIDENT,9,I2,03/01/25 14:30:11,03/01/25 14:33:14,03/01/25 14:40:40,0 Hrs. 03 Mins,0 Hrs. 07 Mins,P.O. Forrod Bonsu 353,ADVISED,Urgent,Complaint will meet at the front door - mini van pulled up while she was walking asking - klosk_j - 3/1/2025 2:08:01 PModd questions - possible attempted luring  - klosk_j - 3/1/2025 2:09:01 PM,290 Anderson Street,200 Block of Anderson Street,"290 Anderson Street, Hackensack, NJ, 07601",Phone,290,"Anderson St, 200 Block"
25-016565,03/01/25 17:10,03/01/25,2025,March,01,09,01,Saturday,060,17:10,17:00,UNWANTED PERSON,9,I6,03/01/25 17:12:31,03/01/25 17:18:46,03/01/25 17:28:23,0 Hrs. 06 Mins,0 Hrs. 09 Mins,P.O. Bobby Rivera 361,DISPERSED,Urgent,see manager in ref to an unwanted male party refusing to leave. - wouters_f - 3/1/2025 5:11:37 PM,400  Hackensack Avenue,400 Block of  Hackensack Avenue,"400  Hackensack Avenue, Hackensack, NJ, 07601",Phone,400," Hackensack Ave, 400 Block"
25-016607,03/01/25 20:38,03/01/25,2025,March,01,09,01,Saturday,060,20:38,20:00,UNWANTED PERSON,8,H4,03/01/25 20:38:38,03/01/25 20:44:07,03/01/25 20:59:52,0 Hrs. 05 Mins,0 Hrs. 15 Mins,P.O. Angelo Vicale 370,SEE REPORT,Urgent,0,316 Passaic Street,300 Block of Passaic Street,"316 Passaic Street, Hackensack, NJ, 07601",Radio,316,"Passaic St, 300 Block"
25-016610,03/01/25 20:58,03/01/25,2025,March,01,09,01,Saturday,060,20:58,20:00,SUSPICIOUS INCIDENT,7,G2,03/01/25 21:00:55,03/01/25 21:05:26,03/01/25 21:13:18,0 Hrs. 04 Mins,0 Hrs. 07 Mins,P.O. Angelo Vicale 370,ADVISED,Urgent,CCAD# 25-076617  complainant in room 11 hears creepy noises from the 3rd or 5th floor - Sosa_C - 3/1/2025 9:00:05 PM,100 Essex Street,100 Block of Essex Street,"100 Essex Street, Hackensack, NJ, 07601",9-1-1,100,"Essex St, 100 Block"
25-016680,03/02/25 01:25,03/02/25,2025,March,01,10,02,Sunday,061,01:25,01:00,A.T.R.A.,5,E2,03/02/25 01:25:54,03/02/25 01:25:57,03/02/25 01:42:43,0 Hrs. 00 Mins,0 Hrs. 16 Mins,P.O. Angelo Vicale 370,SEE REPORT,Urgent,0,174 South Main Street,100 Block of South Main Street,"174 South Main Street, Hackensack, NJ, 07601",Radio,174,"South Main St, 100 Block"
25-016781,03/02/25 12:07,03/02/25,2025,March,01,10,02,Sunday,061,12:07,12:00,DOMESTIC VIOLENCE,9,I1,03/02/25 12:10:09,03/02/25 12:17:15,03/02/25 14:15:58,0 Hrs. 07 Mins,1 Hrs. 58 Mins,P.O. Christian Alvarez 364,SEE REPORT,Emergency,Walk in - kiselow_g - 3/2/2025 12:07:49 PM,65 Maple Avenue,0 Block of Maple Avenue,"65 Maple Avenue, Hackensack, NJ, 07601",Walk-In,65,"Maple Ave, 0 Block"
25-016795,03/02/25 14:05,03/02/25,2025,March,01,10,02,Sunday,061,14:05,14:00,DISPUTE,7,G1,03/02/25 14:06:42,03/02/25 14:08:59,03/02/25 14:21:57,0 Hrs. 02 Mins,0 Hrs. 12 Mins,P.O. Peter Voorhis 380,ASSISTED,Urgent,CCAD# 25-077406  male Vs. female outside - Sosa_C - 3/2/2025 2:06:08 PM,100 State Street,100 Block of State Street,"100 State Street, Hackensack, NJ, 07601",9-1-1,100,"State St, 100 Block"
25-016799,03/02/25 14:19,03/02/25,2025,March,01,10,02,Sunday,061,14:19,14:00,DISPUTE,9,I3,03/02/25 15:49:18,03/02/25 15:49:30,03/02/25 16:15:07,0 Hrs. 00 Mins,0 Hrs. 25 Mins,P.O. Forrod Bonsu 353,SEE REPORT,Urgent,"CCAD# 25-077420  two males, verbal, complainant G.O.A. - Sosa_C - 3/2/2025 2:20:49 PMMICOM Notified - kiselow_g - 3/2/2025 2:22:50 PMWALK IN.   - kiselow_g - 3/2/2025 3:46:26 PM",156 Hackensack Avenue,100 Block of Hackensack Avenue,"156 Hackensack Avenue, Hackensack, NJ, 07601",9-1-1,156,"Hackensack Ave, 100 Block"
25-016806,03/02/25 14:34,03/02/25,2025,March,01,10,02,Sunday,061,14:34,14:00,DISPUTE,5,E3,03/02/25 14:38:23,03/02/25 14:43:25,03/02/25 15:08:16,0 Hrs. 05 Mins,0 Hrs. 24 Mins,P.O. Bobby Rivera 361,TEMP. SETTLED,Urgent,Dispute with second floor resident - kiselow_g - 3/2/2025 2:34:42 PM,394 Taylor Avenue,300 Block of Taylor Avenue,"394 Taylor Avenue, Hackensack, NJ, 07601",Phone,394,"Taylor Ave, 300 Block"
25-016821,03/02/25 15:25,03/02/25,2025,March,01,10,02,Sunday,061,15:25,15:00,SUSPICIOUS INCIDENT,8,H3,03/02/25 15:30:38,03/02/25 15:33:02,03/02/25 16:08:10,0 Hrs. 02 Mins,0 Hrs. 35 Mins,P.O. Christian Alvarez 364,SEE REPORT,Urgent,Walk in.  Father is account holder.  Daughter utilizes the cellphone.  Unknown suspect(s) placed - kiselow_g - 3/2/2025 3:28:28 PMthe daughter's information on social media.  Wants incident documented - kiselow_g - 3/2/2025 3:28:28 PM,317 First Street,300 Block of First Street,"317 First Street, Hackensack, NJ, 07601",Walk-In,317,"First St, 300 Block"
25-016828,03/02/25 16:39,03/02/25,2025,March,01,10,02,Sunday,061,16:39,16:00,DISPUTE,6,F1,03/02/25 16:41:35,03/02/25 16:44:01,03/02/25 16:50:47,0 Hrs. 02 Mins,0 Hrs. 06 Mins,P.O. Peter Voorhis 380,TEMP. SETTLED,Urgent,CCAD# 25-077582   grandmother vs. granddaughter  - Sosa_C - 3/2/2025 4:40:36 PM,119 Essex Street,100 Block of Essex Street,"119 Essex Street, Hackensack, NJ, 07601",9-1-1,119,"Essex St, 100 Block"
